Entry	Protein names	Gene Ontology (molecular function)	Gene Ontology (cellular component)	Gene Ontology (biological process)
G4VKX2	4a-hydroxytetrahydrobiopterin dehydratase (EC 4.2.1.96)	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]		tetrahydrobiopterin biosynthetic process [GO:0006729]
G4VKY4	Tubulin alpha chain	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]	microtubule [GO:0005874]	microtubule-based process [GO:0007017]
G4VKZ6	Protein regulator of cytokinesis 1	microtubule binding [GO:0008017]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	microtubule cytoskeleton organization [GO:0000226]
G4VLB2	Growth arrest and DNA damage-inducible proteins-interacting protein 1 (39S ribosomal protein L59, mitochondrial)		mitochondrion [GO:0005739]; nucleus [GO:0005634]	cell cycle [GO:0007049]
G4VLD7	Alpha-galactosidase (EC 3.2.1.-)	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	lysosome [GO:0005764]	carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]
G4VLD8	Alpha-galactosidase (EC 3.2.1.-)	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]		carbohydrate metabolic process [GO:0005975]
G4VLE1	Alpha-galactosidase (EC 3.2.1.-)	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]		carbohydrate metabolic process [GO:0005975]
G4VLE3	Alpha-galactosidase (EC 3.2.1.-)	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	lysosome [GO:0005764]	carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]
G4VLH7	Dynactin subunit 4		cell cortex [GO:0005938]; dynactin complex [GO:0005869]; microtubule organizing center [GO:0005815]; sarcomere [GO:0030017]	
G4VLH9	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	ubiquitin-protein transferase activity [GO:0004842]		protein ubiquitination [GO:0016567]
G4VLI9	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	DNA-directed RNA polymerase complex [GO:0000428]; nuclear lumen [GO:0031981]	DNA-templated transcription [GO:0006351]
G4VLK9	Mitochondrial import inner membrane translocase subunit		mitochondrial inner membrane [GO:0005743]	protein transport [GO:0015031]
G4VLL1	DNA methyltransferase 1-associated protein 1		NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]	chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of DNA-templated transcription [GO:0045892]
G4VLN8	40S ribosomal protein S24	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
G4VLR0	Phosphomannomutase (EC 5.4.2.8)	phosphomannomutase activity [GO:0004615]	cytoplasm [GO:0005737]	GDP-mannose biosynthetic process [GO:0009298]
G4VLR7	NEDD8-activating enzyme E1 regulatory subunit	NEDD8 activating enzyme activity [GO:0019781]	membrane [GO:0016020]	protein neddylation [GO:0045116]
G4VLU1	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108)	2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]		peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
G4VLU2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1 (EC 2.5.1.108) (Diphthamide biosynthesis protein 1) (Diphtheria toxin resistance protein 1) (S-adenosyl-L-methionine:L-histidine 3-amino-3-carboxypropyltransferase 1)	2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]		peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
G4VLV7	DDRGK domain-containing protein 1		membrane [GO:0016020]	
G4VM34	General transcription and DNA repair factor IIH subunit TFB5		transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]	nucleotide-excision repair [GO:0006289]; transcription initiation at RNA polymerase II promoter [GO:0006367]
G4VM35	Pre-mRNA-splicing regulator female-lethal(2)D		nucleus [GO:0005634]	mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]
G4VMA1	Eukaryotic translation initiation factor 4C	RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]		
G4VMB5	60S ribosomal protein L44	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]	translation [GO:0006412]
G4VMC2	Putative cystinosin		membrane [GO:0016020]	
G4VMD6	Synaptogyrin		membrane [GO:0016020]	
G4VMI7	Trafficking protein particle complex subunit		endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]	Golgi vesicle transport [GO:0048193]
G4VML1	fructose-bisphosphatase (EC 3.1.3.11)	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]		gluconeogenesis [GO:0006094]
G4VML9	Reactive oxygen species modulator 1 (Protein MGR2 homolog)		membrane [GO:0016020]	
G4VMM4	EGF-like domain-containing protein		membrane [GO:0016020]	
G4VMP1	Arp2/3 complex 34 kDa subunit	actin binding [GO:0003779]	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]
G4VMQ5	Trimethylguanosine synthase	methyltransferase activity [GO:0008168]		7-methylguanosine RNA capping [GO:0009452]; RNA methylation [GO:0001510]
G4VMR3	Anion exchange protein	monoatomic anion transmembrane transporter activity [GO:0008509]; solute:inorganic anion antiporter activity [GO:0005452]	membrane [GO:0016020]	
G4VMW9	Vesicle-fusing ATPase (EC 3.6.4.6)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]	protein transport [GO:0015031]; SNARE complex disassembly [GO:0035494]
G4VN23	proton-translocating NAD(P)(+) transhydrogenase (EC 7.1.1.1)	NAD(P)+ transhydrogenase activity [GO:0008746]	membrane [GO:0016020]	proton transmembrane transport [GO:1902600]
G4VN61	Histone H2A	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]	nucleosome [GO:0000786]; nucleus [GO:0005634]	
G4VN62	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)	serine-type endopeptidase activity [GO:0004252]	signal peptidase complex [GO:0005787]	signal peptide processing [GO:0006465]
G4VN93	ATP-dependent RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]		
G4VNA0	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (NADH-ubiquinone oxidoreductase B22 subunit)		mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
G4VNB2	Pre-mRNA-splicing factor 38		precatalytic spliceosome [GO:0071011]	mRNA splicing, via spliceosome [GO:0000398]
G4VND4	Elongator complex protein 5		cytoplasm [GO:0005737]; elongator holoenzyme complex [GO:0033588]; nucleus [GO:0005634]	tRNA wobble uridine modification [GO:0002098]
G4VNG8	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18)	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VNH1	Branchpoint-bridging protein	pre-mRNA branch point binding [GO:0045131]; zinc ion binding [GO:0008270]	spliceosomal complex [GO:0005681]	mRNA splicing, via spliceosome [GO:0000398]
G4VNI0	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 7.1.1.8)	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]	mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	
G4VNQ8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit)		mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	
G4VNT2	Alanine--tRNA ligase (EC 6.1.1.7)	alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]	alanyl-tRNA aminoacylation [GO:0006419]
G4VNU4	Palmitoyltransferase (EC 2.3.1.225)	protein-cysteine S-palmitoyltransferase activity [GO:0019706]	membrane [GO:0016020]	
G4VNU9	Protein SYS1 homolog		Golgi membrane [GO:0000139]	protein transport [GO:0015031]
G4VNZ6	Vacuolar protein sorting-associated protein 72 homolog	ATP-dependent H2AZ histone chaperone activity [GO:0140849]	nucleus [GO:0005634]	regulation of DNA-templated transcription [GO:0006355]
G4VP16	FIT family protein	acyl-coenzyme A diphosphatase activity [GO:0106399]	endoplasmic reticulum membrane [GO:0005789]	lipid droplet organization [GO:0034389]; lipid storage [GO:0019915]
G4VP71	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog)	tRNA (cytidine 32-2'-O)-methyltransferase activity [GO:0106339]	cytoplasm [GO:0005737]	cytoplasmic translation [GO:0002181]; tRNA nucleoside ribose methylation [GO:0002128]
G4VP78	E3 ubiquitin-protein ligase RNF170 (EC 2.3.2.27) (RING finger protein 170) (RING-type E3 ubiquitin transferase RNF170)	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]	endoplasmic reticulum membrane [GO:0005789]	
G4VPA5	Toll-interacting protein	ubiquitin binding [GO:0043130]	cytoplasm [GO:0005737]	autophagy [GO:0006914]; innate immune response [GO:0045087]
G4VPB2	U6 snRNA-associated Sm-like protein LSm4	RNA binding [GO:0003723]	spliceosomal complex [GO:0005681]	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]
G4VPC6	Protein arginine N-methyltransferase (EC 2.1.1.-)	protein-arginine N-methyltransferase activity [GO:0016274]		peptidyl-arginine methylation [GO:0018216]
G4VPD0	vesicle-fusing ATPase (EC 3.6.4.6)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	endosome membrane [GO:0010008]	
G4VPE5	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of transcription by RNA polymerase II [GO:0006357]
G4VPH5	Glucose-6-phosphate isomerase (EC 5.3.1.9)	carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]		carbohydrate derivative metabolic process [GO:1901135]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
G4VPI1	Holocytochrome c-type synthase (EC 4.4.1.17)	holocytochrome-c synthase activity [GO:0004408]; metal ion binding [GO:0046872]	mitochondrial inner membrane [GO:0005743]	
G4VPJ1	RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]		
G4VPJ8	Gamma-tubulin complex component	gamma-tubulin binding [GO:0043015]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]	microtubule nucleation [GO:0007020]
G4VPM2	Transmembrane protein 35		membrane [GO:0016020]	
G4VPS5	T-complex protein 1 subunit theta (CCT-theta)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]	
G4VPS8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 (Complex I-B15) (NADH-ubiquinone oxidoreductase B15 subunit)		membrane [GO:0016020]; mitochondrion [GO:0005739]	
G4VPT3	Protein phosphatase inhibitor 2	protein phosphatase inhibitor activity [GO:0004864]		regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of signal transduction [GO:0009966]
G4VPU6	Signal recognition particle subunit SRP68 (SRP68)	7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; signal recognition particle binding [GO:0005047]	nucleolus [GO:0005730]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]	SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
G4VPX8	alanine transaminase (EC 2.6.1.2)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]		biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]
G4VPZ1	Transcription elongation factor	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	nucleus [GO:0005634]	transcription elongation by RNA polymerase II [GO:0006368]
G4VQ30	4'-phosphopantetheine phosphatase (Inactive pantothenic acid kinase 4)	ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]		coenzyme A biosynthetic process [GO:0015937]
G4VQ39	Homologous-pairing protein 2 homolog		nucleus [GO:0005634]	nucleic acid metabolic process [GO:0090304]
G4VQ47	glutathione transferase (EC 2.5.1.18)	glutathione transferase activity [GO:0004364]	membrane [GO:0016020]	
G4VQ51	Mediator of RNA polymerase II transcription subunit 31	transcription coregulator activity [GO:0003712]	mediator complex [GO:0016592]	regulation of DNA-templated transcription [GO:0006355]
G4VQ61	Polyadenylate-binding protein (PABP)	RNA binding [GO:0003723]	cytoplasm [GO:0005737]	
G4VQ87	Mitochondrial import inner membrane translocase subunit TIM50		TIM23 mitochondrial import inner membrane translocase complex [GO:0005744]	protein transport [GO:0015031]
G4VQ97	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	carbohydrate binding [GO:0030246]; glycosyltransferase activity [GO:0016757]	Golgi membrane [GO:0000139]	protein glycosylation [GO:0006486]
G4VQA4	EGF-like domain-containing protein		membrane [GO:0016020]	
G4VQH7	Putative microtubule-associated protein, rp/eb family	microtubule binding [GO:0008017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cell cycle [GO:0007049]; cell division [GO:0051301]
G4VQJ3	Adenine phosphoribosyltransferase (EC 2.4.2.7)	adenine phosphoribosyltransferase activity [GO:0003999]	cytoplasm [GO:0005737]	adenine salvage [GO:0006168]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]
G4VQJ4	Adenine phosphoribosyltransferase (EC 2.4.2.7)	adenine phosphoribosyltransferase activity [GO:0003999]	cytoplasm [GO:0005737]	adenine salvage [GO:0006168]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]
G4VQK1	T-complex protein 1 subunit beta (CCT-beta)	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	chaperonin-containing T-complex [GO:0005832]	
G4VQK3	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]		protein peptidyl-prolyl isomerization [GO:0000413]
G4VQK6	Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P)	metalloendopeptidase activity [GO:0004222]	membrane [GO:0016020]	proteolysis [GO:0006508]
G4VQM6	ubiquitinyl hydrolase 1 (EC 3.4.19.12)	cysteine-type deubiquitinase activity [GO:0004843]		protein deubiquitination [GO:0016579]
G4VQX3	E3 ubiquitin-protein ligase CBL (EC 2.3.2.27)	aspartyltransferase activity [GO:0047690]; calcium ion binding [GO:0005509]; phosphotyrosine residue binding [GO:0001784]; ubiquitin-protein transferase activity [GO:0004842]		cell surface receptor signaling pathway [GO:0007166]; protein ubiquitination [GO:0016567]; regulation of signaling [GO:0023051]
G4VQZ4	L-lactate dehydrogenase (EC 1.1.1.27)	L-lactate dehydrogenase activity [GO:0004459]	cytoplasm [GO:0005737]	carboxylic acid metabolic process [GO:0019752]
G4VQZ5	L-lactate dehydrogenase (EC 1.1.1.27)	L-lactate dehydrogenase activity [GO:0004459]	cytoplasm [GO:0005737]	carboxylic acid metabolic process [GO:0019752]
G4VR32	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	alcohol dehydrogenase (NAD+) activity [GO:0004022]; S-(hydroxymethyl)glutathione dehydrogenase NAD activity [GO:0106322]; S-(hydroxymethyl)glutathione dehydrogenase NADP activity [GO:0106321]; zinc ion binding [GO:0008270]		ethanol oxidation [GO:0006069]
G4VR43	Glutamate-gated chloride channel subunit 1	extracellular ligand-gated monoatomic ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	plasma membrane [GO:0005886]	
G4VR77	Tyrosine-protein phosphatase non-receptor type 1	protein tyrosine phosphatase activity [GO:0004725]	membrane [GO:0016020]	protein dephosphorylation [GO:0006470]
G4VR95	Serine/threonine kinase	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	cytoplasm [GO:0005737]	protein phosphorylation [GO:0006468]
G4VRL5	hydroxymethylbilane synthase (EC 2.5.1.61) (Hydroxymethylbilane synthase)	hydroxymethylbilane synthase activity [GO:0004418]		peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]
G4VRY2	dolichyl-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]	
G4VS25	Transcription initiation factor TFIID subunit 8	protein heterodimerization activity [GO:0046982]	transcription factor TFIID complex [GO:0005669]	
G4VS29	Fucosyltransferase (EC 2.4.1.-)	fucosyltransferase activity [GO:0008417]	Golgi cisterna membrane [GO:0032580]	protein glycosylation [GO:0006486]
G4VS32	U6 snRNA-associated Sm-like protein LSm5	RNA binding [GO:0003723]	spliceosomal complex [GO:0005681]	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]
